name,address,rating,review_count
Base Bar,"Avenue de Sévelin 46, 1004 Lausanne",,0
Baytouti,"Avenue de Cour 71B, 1007 Lausanne",,0
Beirut House,"Rue des Fontenailles 10, 1007 Lausanne",,0
BELLA ITALIA AL SARL,"Avenue d'Echallens 17, 1004 Lausanne",,0
Bibibowl,"Place Grand-St-Jean 2, 1003 Lausanne",,0
Bluebird Café,"Rue Centrale 29, 1003 Lausanne",,0
Boky,"place de la Gare 2, 1003 Lausanne",,0
Brasserie 1893,"Route de Berne 301, 1010 Lausanne",,0
Bulldog Bar et Resto,"Rue du Port-Franc 17, 1003 Lausanne",,0
Cafe Barath,"Rue Pichard 8, 1003 Lausanne",,0
Café Beau-Rivage,"Place du Port 17, 1006 Lausanne",,0
Café-Café,"Chemin du Bois-de-Vaux 20, 1007 Lausanne",,0
Cafe Cafe,"Chemin du Bois-de-Vaux 20, 1007 Lausanne",,0
Café de Boisy,"Chemin du Boisy 41, 1004 Lausanne",,0
Café de Prélaz titulaire,"Avenue de Morges 141, 1004 Lausanne",,0
Café des Avenues Sàrl,"Avenue de Jurigoz 20, 1006 Lausanne",4.6,24
Café du Vieil-Ouchy,"Place du Port 3, 1006 Lausanne",,0
Café L'Evêché,"Rue Louis-Curtat 4, 1005 Lausanne",,0
Café Mozart,"Rue de la Grotte 2, 1003 Lausanne",,0
Café-Restaurant Chinois Dongpo,"Rue du Maupas 34, 1004 Lausanne",,0
Café restaurant de la Bourdonnette,"Route de Chavannes 201, 1007 Lausanne",4.6,15
Café Restaurant Harmonie,"Rue Germaine-Ernst 9, 1018 Lausanne",,0
Café Restaurant New Delhi,"Avenue Louis-Ruchonnet 2, 1003 Lausanne",,0
Chez Mario,"Rue de Bourg 28, 1003 Lausanne",,0
Chez Quang,"Avenue du Grey 58, 1018 Lausanne",,0
Chocolaterie Wuthrich,"Avenue Juste-Olivier 11, 1006 Lausanne",,0
Churrascaria le Mont d'Or,"Chemin de Contigny 1, 1007 Lausanne",,0
Cipollino,"Passage Saint-François 2, 1003 Lausanne",,0
Cipriano - wine & ham,"Rue du Port-Franc 11, 1003 Lausanne",,0
Coin Cafe,"Rue Caroline 17, 1003 Lausanne",,0
Côté Sushi - Lausanne,"Rue du Grand-Pont 8, 1003 Lausanne",,0
Crazy Kitchen Steakhouse,"Avenue de Tivoli 60, 1007 Lausanne",,0
Cuba Libre Restaurant,"Chemin de Boissonnet 77, 1010 Lausanne",,0
Cuisine Orientale,"Avenue Emile-Henri-Jaques-Dalcroze 9, 1007 Lausanne",,0
Cuisine Orientale C&O,"Avenue Emile-Henri-Jaques-Dalcroze, 1007 Lausanne",,0
Cups n' Cakes,"Avenue du Tribunal-Fédéral 2, 1005 Lausanne",,0
Cut pizza losanna,"Rue Sainte-Beuve 9, 1005 Lausanne",,0
Daisuki,"Avenue de France 38, 1004 Lausanne",,0
Diabolo Pizza,"Avenue William-Fraisse 9, 1006 Lausanne",4.0,8
Dong Fang,"Avenue de la Gare 20, 1003 Lausanne",,0
Donut's Coffee,"Avenue Louis-Ruchonnet 8, 1003 Lausanne",,0
du Village,"Avenue de Chailly 59, 1012 Lausanne",,0
Duke's,"Rue du Flon 12, 1003 Lausanne",,0
El Batan,"Avenue de Morges 119, 1004 Lausanne",,0
El Gato,"Rue Marterey 19, 1005 Lausanne",,0
El.Gringo,"Place de la Riponne, 1005 Lausanne",,0
FUSION by Sushizen,"Avenue des Boveresses 56, 1010 Lausanne",,0
Galerie Port Franc,"Rue Côtes-de-Montbenon 14, 1003 Lausanne",,0
Ge'ez Restaurant,"Avenue Victor-Ruffy 39, 1012 Lausanne",,0
